wert	gesamt	mit_source	anteil_mit_source_pct
Brief	2782161	2774154	99.71
Briefe	726868	0	0.00
Dokument	264299	264299	100.00
Handschrift	233730	21929	9.38
Briefsammlung	200143	379	0.19
Werk	175719	175719	100.00
Verschiedenes	146757	0	0.00
Autograf	142325	8554	6.01
Korrespondenz	125869	125869	100.00
Prosa	96269	28526	29.63
Postkarte	77315	77199	99.85
Nachlass	57974	54864	94.64
Zeitschriftenaufsatz	48486	48486	100.00
Fotografie	45584	38487	84.43
Lyrik	41032	41032	100.00
Gedichte	35916	0	0.00
Zeitungsartikel	34084	34054	99.91
Briefwechsel	26542	2	0.01
Dokumente	23710	0	0.00
Stammbucheintragung	22747	0	0.00
Abschrift	17828	17828	100.00
Notiz	17606	17026	96.71
Eintragung	14548	14548	100.00
Entwurf	13079	13079	100.00
Bericht	12689	12537	98.80
Rede	12679	10432	82.28
Sammlung	12452	9069	72.83
Vorlesung	11771	9480	80.54
Autogramm	10217	10217	100.00
Musikhandschrift	9991	0	0.00
Teilnachlass	9356	0	0.00
Bearbeitung	9257	9257	100.00
Kunst	9144	9144	100.00
Herausgeber	9106	9106	100.00
Rezension	9067	9066	99.99
Dedikation	8798	8798	100.00
Komposition <Musik>	8688	8688	100.00
Provenienzmaterial	8267	0	0.00
Zeichnung	8191	8169	99.73
Abhandlung	8011	0	0.00
Vertrag	7588	7588	100.00
Archivbestand	7354	7354	100.00
Mitschrift	7299	7299	100.00
Illustration	7252	7252	100.00
Telegramm	6680	6680	100.00
Feldpost	6491	6491	100.00
Visitenkarte	6441	6441	100.00
Rechnung	6396	6396	100.00
Ansichtspostkarte	6391	6391	100.00
Quittung	6331	6331	100.00
Albumblatt	6118	3577	58.47
Rundschreiben	5929	5929	100.00
Gutachten	5913	3086	52.19
Drucksache	5862	5862	100.00
Dramatisches	5698	0	0.00
Varia	5695	0	0.00
Akte	5388	5388	100.00
Dokumentation	5297	5297	100.00
Mitteilung	5051	5051	100.00
Tagebuch	5038	4216	83.68
Prospekt	5001	5001	100.00
Bild	4940	0	0.00
Liste	4910	4866	99.10
Drama	4829	4829	100.00
Erzählung	4826	4826	100.00
Bildnis	4691	4573	97.48
Rezensionen	4591	0	0.00
Autobiografisches	4554	0	0.00
Glückwunsch	4537	4537	100.00
Briefumschlag	4444	4444	100.00
Urkunde	4406	4406	100.00
Gästebuch	4086	4086	100.00
Plan	4003	3863	96.50
Standortkonvolut	3875	0	0.00
Übersetzung	3864	3864	100.00
Reden und Vorträge	3842	0	0.00
Fragebogen	3836	3836	100.00
Partitur	3834	3834	100.00
Übersetzungen	3719	0	0.00
Protokoll	3580	3466	96.82
Kryptobestand	3478	0	0.00
Rundfunksendung	3409	3409	100.00
Sonderdruck	3300	3300	100.00
Vortrag	3238	3238	100.00
Telefax	3226	3226	100.00
Anzeige	3166	3166	100.00
Bescheinigung	3140	3140	100.00
Archiv	3099	2268	73.18
Biografie	3015	3010	99.83
Einzelautographen	2988	0	0.00
Einzelautograph	2970	0	0.00
Verträge	2765	0	0.00
Vorlesungsmanuskript	2587	0	0.00
Skizze	2563	2563	100.00
Verzeichnis	2506	2503	99.88
Stammbuchblatt	2488	2488	100.00
Veröffentlichung	2438	2438	100.00
Zeugnis	2371	2371	100.00
Autobiografie	2296	2292	99.83
Grafik	2104	2064	98.10
Materialsammlung	2088	0	0.00
Kompositionen	2062	0	0.00
Geschäftsbrief	1848	1848	100.00
E-Mail	1836	1836	100.00
Zettelkasten	1799	1799	100.00
Abrechnung	1755	1755	100.00
Essay	1743	1743	100.00
Interview	1617	1596	98.70
Hörspiel	1612	1612	100.00
Notizbuch	1597	1597	100.00
Karte	1557	1548	99.42
Lebenslauf	1537	1537	100.00
Bibliografie	1514	1513	99.93
Vorlesungsankündigung	1513	0	0.00
Stammbuch	1505	1434	95.28
Kondolenz	1498	1498	100.00
Widmungen	1480	0	0.00
Nachruf	1448	1363	94.13
Publikation Zeitungsartikel	1414	0	0.00
Reisebericht	1407	1233	87.63
Liederhandschrift	1348	1348	100.00
Bestand	1333	0	0.00
Abschriften	1326	0	0.00
Druckfahne	1322	1322	100.00
Soufflierbuch	1321	1321	100.00
Vorlass	1246	1163	93.34
Werkmanuskript	1210	0	0.00
Drehbuch	1192	1158	97.15
Roman	1168	1168	100.00
Vollmacht	1157	1157	100.00
Beruf	1143	1143	100.00
Bibliothek	1099	1099	100.00
Dedikationsexemplar	1066	1066	100.00
Regiebuch	1055	1055	100.00
Formular	1050	1050	100.00
Kollegheft	1032	1032	100.00
Vertonungen	996	0	0.00
Kalender	994	994	100.00
Vorlesungen	984	0	0.00
Lebensdokument	964	0	0.00
Verlagsnotizen	952	0	0.00
Erklärung	910	910	100.00
Predigt	891	584	65.54
Katalog	891	665	74.64
Herausgegebenes	858	0	0.00
Kontoauszug	845	845	100.00
Druck	825	0	0.00
Aktennotiz	815	0	0.00
Statistik	808	808	100.00
Verlagsvertrag	789	789	100.00
Anmerkung	787	787	100.00
Speisekarte	740	740	100.00
Unterrichtsvorbereitung	721	721	100.00
Schallplatte	705	93	13.19
Vor- u. Nachworte	690	0	0.00
Referat <Vortrag>	676	676	100.00
Notathefte	674	0	0.00
Typoskript	663	663	100.00
Vorlesungsmanuskrip	662	0	0.00
Publikation Druck	633	0	0.00
Fotoalbum	625	625	100.00
Publikation Zeitschriftenartikel	622	0	0.00
Sachakten	600	600	100.00
Kollektaneen	599	599	100.00
Ausweis	597	597	100.00
Festschrift	579	565	97.58
Genealogische Tafel	569	566	99.47
Novelle	555	555	100.00
Handexemplar	553	553	100.00
Tabelle	546	482	88.28
Sammelwerk	520	520	100.00
Kommentar	499	499	100.00
Einladung	498	498	100.00
Bearbeitungen	484	0	0.00
Geschichtsschreibung	475	0	0.00
Gemälde	472	463	98.09
Aquarell	464	464	100.00
Schriftstück	459	459	100.00
Film	457	217	47.48
Aphorismus	455	455	100.00
Fahrausweis	455	455	100.00
Inhaltsverzeichnis	439	439	100.00
Auswahl	429	368	85.78
Zeichnungen	414	0	0.00
Druckvorlage	389	389	100.00
Vorwort	383	383	100.00
Textbuch	381	0	0.00
	372	0	0.00
Politik	369	369	100.00
Plakat	366	285	77.87
Tonband	361	361	100.00
Interviews	354	0	0.00
Album	347	347	100.00
Werke	343	0	0.00
Druckwerk	340	340	100.00
Steuerbescheid	335	335	100.00
Lied	330	0	0.00
Dichtung <Begriff>	329	329	100.00
Chronik	328	328	100.00
Mitschriften	327	0	0.00
Gruß	327	327	100.00
Pass	323	323	100.00
Fernsehsendung	321	321	100.00
Testament	317	317	100.00
Widmungsgedicht	315	315	100.00
Schulheft	311	311	100.00
Seminare und Kolloquien	306	0	0.00
Ehrung	302	302	100.00
Singspiel	300	300	100.00
Kochbuch	299	299	100.00
Teilarchiv	290	0	0.00
Autorenlesung	290	290	100.00
Kryptonachlass	287	0	0.00
Unechter Nachlass	287	0	0.00
Manuskript	284	284	100.00
Leserbrief	279	279	100.00
Notizen	266	0	0.00
Honorar	266	266	100.00
Gedicht	265	265	100.00
Typoskript Vortrag	262	0	0.00
Feature	256	256	100.00
Stimme >Musikalische Ausgabeform>	255	255	100.00
Medaille	241	241	100.00
Vertonung	241	241	100.00
Kopialbuch	236	236	100.00
Studienbescheinigung	225	0	0.00
Ding	225	225	100.00
Depositum	215	0	0.00
Offener Brief	215	215	100.00
Werkverzeichnis	210	209	99.52
