wert	haeufigkeit
Freistaat Bayern	35703
Literarisches Centralblatt für Deutschland. Zeitschrift (1850-1944)	19843
New York Times (Zeitung) (1851-)	7237
Schauspielhaus Düsseldorf / Dramaturgie (1904-1933)	3503
Indogermanische Forschungen (Zeitschrift) (1892-)	3319
Unbekannt	3028
Hanser	2595
Internationales Tanzprojekt Bonn	2323
Emergency Rescue Commitee (New York)	2299
Schauspielhaus Düsseldorf / Hochschule für Bühnenkunst (1904-1932)	1739
Rotbuch Verlag (Hamburg)	1610
Karl Quarch Werkstätten für Stahlstichdruck (Leipzig)	1409
Kuratorium der Zunz-Stiftung (1864-)	1404
Gebrüder Dransfeld (Hamburg)	1330
Schauspielhaus Düsseldorf / Redaktion der Masken (1904-1932)	1287
Rotbuch Verlag (Berlin)	1277
Universität (Bonn) / Akademischer Senat	1233
Düsseldorfer Schauspielhaus / Intendanz (1951-)	1188
"Kinderclub ""Jenny Gertz"" (1947-1953)"	1111
Carl Hanser Verlag	1061
International Rescue and Relief Committee (New York, N.Y.)	1008
Missionskollegium (Kopenhagen)	938
Internationales Tanzprojekt Bonn [vermutlich]	936
Verlag Max Stuffler (München)	894
Landesstelle für Volksforschung und Volkstumspflege (1933-1945)	743
Society for Promoting Christian Knowledge	697
Libreria Pontificia Federico Pustet (Roma)	690
Zeitschrift für die gesamte Staatswissenschaft (Zeitschrift)	654
Institutum Judaicum et Muhammedicum (Halle, Saale)	582
Gemeinschaft der Freunde des Düsseldorfer Schauspielhauses	578
Euphorion Verlag (Berlin)	494
Düsseldorfer Schauspielhaus / Verwaltung (1951-)	476
Musikverlag Adolph Fürstner (Berlin)	468
Neuer Verein (München)	459
Berghotel Bastei (Lohmen)	447
Mappe (Dresden) (1870-)	427
Bildarchiv der Hauptstelle der Bundesanstalt für Arbeitsvermittlung und Arbeitslosenversicherung	398
Postscheckamt (Berlin, West)	396
Brüdergemeine (Herrnhut)	389
Schlossbibliothek Baden-Baden	384
Buchhandlung Karl Fleckeisen (Helmstedt)	383
Der Spiegel (Hamburg)	378
Choreographisches Institut Rudolf von Laban (1926-)	376
Harcourt Brace Jovanovich (1970-1991)	369
Zeitschrift für die gesamte Staatswissenschaft / Redaktion	364
Deutsches Vortragsamt	363
Sozialistische Einheitspartei Deutschlands / Zentralsekretariat	363
Königlich Preußisches Postamt (Halle, Saale)	351
Unitarian Service Committee (Lissabon)	331
null	329
Kammertanzbühne Dussia Bereska (1928-) [vermutlich]	326
International Relief Association	316
Juristenzeitung (Zeitschrift) (1951-)	314
