wert	haeufigkeit
Unbekannt	191301
Verschiedene	2763
Marx, Otto (1871-1964)	1893
Schulze, Elfriede	1731
Bielfeld, Hertha (1897-1969)	1250
Graeser, Karl	1052
Messerschmitt, Adolf	1011
Bächler, Rudolf	913
Krause, Marianne	862
Meyer-Rosorius, Klaus (Hanser)	849
Spies (Familie)	812
Verschiedene (Schriftsteller und Wissenschaftler)	746
Oppenhoff, Caspar Anton (1781-1869)	738
Lübeck, Wilhelm	701
Bouillet-Roy, Geneviève	690
Bonsels, Elise (1883-1964)	598
unbekannt	596
Bächler, Else	581
Tricart, Jean	567
Müller, ...	550
Liebmann, Erna	549
Gebauer, ...	545
Müller, Marie-Agnes	539
Wacker, Marianne	537
Völkel, Irm	523
Brandenburg, Johanna (-1934)	496
Gliesche, Heinz	495
Lexow, Margot (1911-1989)	459
Lieschke, Marie Luise	457
Ahner, Erna	438
Schneider-Schelde, Eleonore	427
Unbekannt (CS, Sammlerin)	417
Linden (Oberappellationsgerichtsrat, geb. ca. 1754)	413
Dimpfl, Ehrentraud	408
Bargiel, Clementine (1835-1869)	407
Wagner, Helmut	401
Golz, Bertha	400
Hansjakob, Philippine	394
Brandenburg, Friederike (1792-1863)	386
Cornelius, Carl Christian	383
Rössler, Irmgard	383
Beugel, P.	381
Mendelssohn, Henriette (1776-1862)	376
Hertel, Christian Gottlieb	375
Steudtner, Erna (1897-1969)	372
Conradi, Karl Friedrich	371
Schubert	362
Claus, Frieda	362
Bock, Heinrich	361
Schmidt	351
Thoß, Martha	345
Diverse	345
Hensan, Dora Elisabeth	338
Gelpke, Adelheid	337
Haid, Hugo (1904-1992)	334
Taube von der Issen, Otto von (1833-1911)	332
Schröder, Renate	330
Lieber, Moriz	328
Uhmann, Erich Leo Ludwig (1881-1968)	319
Rust, Olga	317
Weerth, Wilhelmine	317
Bonsels, Hans (1912-)	316
Focke, Ernst Rudolf	312
Dingler, Gerda	311
Luithlen, Victor	310
Kaiser, Erna	305
Legler, Hannelore	299
Messerschmitt, Baptist Ferdinand	296
Gebauer, Catharina Auguste Victorie	296
Lehmann, Hans	294
Geller, Wolfgang	293
Geller, Anita	293
Becker, ...	292
Mayer, Friedrich	286
Locher-Neuberg, Else	285
Konstanz (Diözese) / Bischöfliches Ordinariat/PK	282
Horst, Christoph Heinrich	281
Fischer	279
Hackradt, August (1856-1899)	278
Kley, Johanna	277
Pratschke, Gottfried (1923-2002)	275
Ehmann, Walter	275
Rheinfurth, Karl	275
Koch, Lauge	275
Gouin, Louis	273
Bout, Pierre	273
Häusler, Ursula	272
Bücker, Hans	270
Moraes, Newton	269
Gebauer, Marie Sophie	268
Geheimrat N. N.	264
Perls, Eugénie (1903-1973)	262
Ahner, Johanna	261
Schneider, Monika	261
Lim, Min-Sook	261
Eggebrecht, Elfi (1905-)	259
Weil, Edgar (1908-1941)	254
Hohenlohe-Weikersheim, Georg Friedrich von (1569-1645)	253
Burgemeister, Lilly	253
Neuberg, Gertrud	252
Epstein, Lonny (1885-1965)	252
Giebe, Simon August	250
Moosmann, Maria Anna	244
Walch	244
Tögel, Margarethe	244
Melichar, Franz	244
Plaisance, Georges	242
Barol, Moses	242
Delvard, Marya (1874-1965)	241
Kirchhofer, Marianne	240
Meyer	239
Gute, Ilse	235
Klemm, Erika	234
Hoffmann	228
Brochu, Michel	228
Thébault, Jean Yves	223
Wünsche, Waltraut	220
Stöhr, Helmut	220
Müller, Senta-Luise	219
Steffen, Bertha (1821-)	219
Löwenthal, Else	218
Mathes, Maria-Ilona (1950-)	218
Richter, Friedrich	217
Hertz-Eichenrode, Georg	215
Fehling, Johannes Emanuel (1873-1932)	214
Geer, Ebba Hult de	213
Mentz, Gertrud (-1972)	213
Muth, Lulu (1897-1961)	211
Holzberg, Immanuel Gottfried (1770-1824)	211
Kaemmel, Ida	210
Grimshaw, Samuel Ridings (-1866)	210
Suter, Hans H.	210
Hartmann, Adolf	208
Hohenlohe-Langenburg, Karl Ludwig von	207
Warneck, Diether	205
Brünn, Siegfried (1838-1916)	204
Koch, Herbert (1894-1979)	204
Muntz, Peter	204
Hilscher, Christian Gottlob	204
Müller, Adolf	202
Laux, Maria	201
Altmüller, Laura (1831-1905)	200
Gude, Jacob	200
Richter	197
Rusdorf, Johann Joachim von (1589-1640)	194
Gute, Erna	194
Olbricht, Martha	193
Rose, Ingrid	193
Weber	190
Portmann, Jean-Pierre	190
Fühmann, Ursula	189
Zimmermann	188
Dlugosch, Helene	188
Petri, Leo	185
MacNeal, Sarah	185
Böhme, Adam Friedrich	184
Mörler, Gisela	182
Auteneder, Helmut	181
Fisher, Maria	181
Millot, Georges	179
Oskar Wöhrle	179
Raguin, Eugène	179
Sandersleben, Marie von	178
Fourmarier, Paul	178
Wolff, ...	177
Jordan, Otto (1903-1986)	177
Jokisch, Walter	176
Leser, Helene	175
Dittmar-Delius, Gertrud (1882-)	175
Hennings, J.	175
Noetzel, Florian	174
Anderwert, Joseph	174
Thoß, Hans	173
Raulff, Helga	173
Schirge, Friederike	173
Dunker, Dora	173
Göhl, Johannes	172
Rune	171
Kestner, ...	171
Guilcher, André	171
Hupe, Johann Michael Carl	170
Geith, Arthur	170
Blumenthal, Maria (1909-1947)	170
Hartmann	168
Hoffmann, Carl	168
Anrep, Alda von	168
Meyer, Peter	167
