3702502	Aufbewahrungsort
1522724	Bestandshaltende Institution
609697	Verfasser
506706	Adressat
350106	Bestandshaltende Einrichtung
306660	Besitzende Institution
184288	Korrespondenzpartner
78042	Behandelt
63066	Dokumentiert
50077	Eigentümer
19795	[Urheber] [nicht dokumentiert]
19189	Bestandsbildner
15894	[Erw�hnte K�rperschaft] [nicht dokumentiert]
14118	Herausgeber
13891	Erwähnte Körperschaft
9222	[Verfasser/in] [nicht dokumentiert]
8942	[Adressat] [nicht dokumentiert]
7877	Dokumentierte Körperschaft
5851	Erwähnt
5708	Vorbesitzer
5645	Urheber
5244	Verlag
3438	Sonstige
3073	Behandelte Körperschaft
2872	HerausgeberIn
2642	[Behandelte K�rperschaft] [nicht dokumentiert]
1942	Bearbeiter
1937	[behandelte Körperschaft] [nicht dokumentiert]
1555	[Photoatelier] [nicht dokumentiert]
1479	Genannte Körperschaft
1096	Beiträger
1014	[behandelte K�rperschaft] [nicht dokumentiert]
945	[Korresp.] [nicht dokumentiert]
917	Fotograf
910	Beteiligt
743	Widmungsempfänger
726	[Provenienz] [nicht dokumentiert]
646	[Urheber/in] [nicht dokumentiert]
580	Schreiber
552	e [nicht dokumentiert]
406	Fotostudio
388	[Korrespondenzpartner/in] [nicht dokumentiert]
355	FotografIn
317	Benannte Körperschaft
306	Unterzeichner
274	Sendeanstalt
251	h [nicht dokumentiert]
251	[Beteiligte Körperschaft] [nicht dokumentiert]
245	[Interpret] [nicht dokumentiert]
241	Künstler
237	vf [nicht dokumentiert]
222	a [nicht dokumentiert]
217	Gefeierte Körperschaft
162	[Lebensdokument] [nicht dokumentiert]
161	Erwähnte Person
153	[Verfasser] [nicht dokumentiert]
152	pat [nicht dokumentiert]
151	[Erw�hnte Person] [nicht dokumentiert]
137	[Behandelte Person] [nicht dokumentiert]
133	Rezensent
125	ProduzentIn
117	
87	g [nicht dokumentiert]
86	Interviewer
84	Sender
82	[Orchester] [nicht dokumentiert]
78	Widmungsschreiber
76	Genannte Person
75	VeranstalterIn
72	Genannte Institution
71	Werktitel Körperschaft
69	Auftraggeber
68	[Unbeteiligt?] [nicht dokumentiert]
67	pro [nicht dokumentiert]
66	Erwähnte Institution
57	Urheberrechts-Inhaber
56	[Sammler] [nicht dokumentiert]
56	[Komposition] [nicht dokumentiert]
54	Vertrieb
51	Abgebildet
50	Komponist
47	kp [nicht dokumentiert]
46	Redakteur
44	[Verlag] [nicht dokumentiert]
44	Mitunterzeichner
40	UnterzeichnerIn
30	Übersetzer
29	Produzent
28	[Genannt] [nicht dokumentiert]
27	d [nicht dokumentiert]
23	b [nicht dokumentiert]
